phen,Num,log10Num,num_seg,C_score,Nloci
0.6,14307150,7.15555313043729,46,19.8525317580706,3%
0.6,14307150,7.15555313043729,44,19.5746852952122,3%
0.5,30045015,7.47777242517121,48,22.5445459387096,3%
0.5,30045015,7.47777242517121,61,17.6266776821225,3%
0.6,14307150,7.15555313043729,51,15.7159528053643,3%
0.6,14307150,7.15555313043729,48,19.4777824271194,3%
0.6,14307150,7.15555313043729,54,20.075177851547,3%
0.6,14307150,7.15555313043729,52,19.8623192645262,3%
0.5,30045015,7.47777242517121,56,12.4493038398287,3%
0.5,30045015,7.47777242517121,52,20.1660830119449,3%
0.5,30045015,7.47777242517121,49,19.1972937327226,3%
0.5,30045015,7.47777242517121,55,20.8350787247387,3%
0.5,30045015,7.47777242517121,53,19.4819829408119,3%
0.5,30045015,7.47777242517121,57,14.2141298134606,3%
0.6,14307150,7.15555313043729,39,24.4686181946187,3%
0.6,14307150,7.15555313043729,45,21.6811074900201,3%
0.6,14307150,7.15555313043729,43,20.0656574587667,3%
0.5,30045015,7.47777242517121,47,13.4364374354305,3%
0.6,14307150,7.15555313043729,42,21.9947176575295,3%
0.6,14307150,7.15555313043729,40,20.5776383839963,3%
0.5,30045015,7.47777242517121,44,13.8572061702154,3%
0.6,14307150,7.15555313043729,46,18.7999374662516,3%
0.5,30045015,7.47777242517121,50,14.0307707810399,3%
0.5,30045015,7.47777242517121,48,16.0132871446288,3%
0.7,12033222880,10.0803819608015,66,14.8953139037049,4%
0.7,12033222880,10.0803819608015,65,18.9711488371627,4%
0.7,12033222880,10.0803819608015,63,12.8965646957052,4%
0.7,12033222880,10.0803819608015,59,14.076500242748,4%
0.7,12033222880,10.0803819608015,65,19.6911754435768,4%
0.7,12033222880,10.0803819608015,65,15.2888060347754,4%
0.6,23206929840,10.3656176892823,60,12.8797585369864,4%
0.7,12033222880,10.0803819608015,60,15.6337262302196,4%
0.7,12033222880,10.0803819608015,61,18.2878546675141,4%
0.7,12033222880,10.0803819608015,65,14.4280838986818,4%
0.7,12033222880,10.0803819608015,63,11.4091788300411,4%
0.7,12033222880,10.0803819608015,59,13.8097715097341,4%
0.7,12033222880,10.0803819608015,65,18.143390528478,4%
0.7,12033222880,10.0803819608015,65,14.1527724594974,4%
0.6,23206929840,10.3656176892823,60,17.7172341035841,4%
0.7,12033222880,10.0803819608015,60,14.2228934721935,4%
0.7,12033222880,10.0803819608015,61,19.5588205072546,4%
0.7,12033222880,10.0803819608015,62,16.4787449471735,4%
0.7,12033222880,10.0803819608015,58,20.7473210622703,4%
0.7,12033222880,10.0803819608015,64,18.8033055862927,4%
0.7,12033222880,10.0803819608015,64,19.2351599361998,4%
0.6,23206929840,10.3656176892823,59,16.9365562657424,4%
0.7,12033222880,10.0803819608015,59,16.8718283966843,4%
0.7,12033222880,10.0803819608015,60,21.479342880442,4%
0.7,12033222880,10.0803819608015,56,19.8509033565939,4%
0.7,12033222880,10.0803819608015,62,16.8886027473148,4%
